English,Bangla,count
new,নতুন,1551258643
home,বাড়ি,1276852170
us,আমাদের,1229112622
page,পৃষ্ঠা,1082121730
search,অনুসন্ধান,1024093118
free,বিনামূল্যে,1014107316
one,এক,993536631
information,তথ্য,932594387
time,সময়,908705570
site,সাইট,844310242
may,হতে পারে,827822032
news,খবর,755424983
use,ব্যবহার,719980257
see,দেখা,681410380
contact,যোগাযোগ,645824184
business,ব্যবসা,637134177
web,ওয়েব,619571575
also,এছাড়াও,616829742
help,সাহায্য,611054034
get,পাওয়া,605984508
view,দেখুন,602279334
online,অনলাইন,601317059
c,গ,596623239
e,এইটা,593086170
first,প্রথম,578161543
would,হবে,572644147
services,সেবা,562206804
click,ক্লিক,536746424
like,পছন্দ,520585287
service,সেবা,519537222
x,এক্স,508609523
find,অনুসন্ধান,502043038
price,মূল্য,501651226
date,তারিখ,488967374
back,পেছনে,488024109
top,শীর্ষ,484213771
people,মানুষ,480303376
list,তালিকা,472590641
name,নাম,464532702
state,অবস্থা,453104133
year,বছর,451092583
day,দিন,446236148
email,ইমেইল,443949646
two,দুই,441398439
health,স্বাস্থ্য,440416431
world,বিশ্ব,431934249
next,পরবর্তী,425903347
used,ব্যবহৃত,421438139
